Document Title,DOI,PDF Link,Authors,"Publication
Year","Article Citation
Count",Abstract,Main_Objective,RQ1_Datasets,RQ1_Image_Count,RQ1_Class_Balance,RQ2_Preprocessing,RQ2_Augmentation,RQ3_RQ4_Seg_Scope,RQ5_RQ6_Class_Scope,RQ7_Model_Architecture,RQ7_Novelty,RQ7_Transfer_Learning,RQ8_Metrics_Used,RQ8_Best_Result,RQ8_SOTA_Compare,RQ9_Limitations,RQ10_Future_Work
A Hybrid Deep Learning Approach for Skin Lesion Segmentation With Dual Encoders and Channel-Wise Attention,10.1109/ACCESS.2025.3548135,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001073086&doi=10.1109%2fACCESS.2025.3548135&partnerID=40&md5=26c9bcdd0c25ced82cb4b4e3e9550581,Ahmed A.; Sun G.; Bilal A.; Li Y.; Ebad S.A.,2025,5.0,"Skin cancer poses a significant global health challenge due to its increasing incidence rates. Accurate segmentation of skin lesions is essential for early detection and successful treatment, yet many current techniques struggle to balance computational efficiency with the ability to capture complex lesion features. This paper aims to develop an advanced deep learning model that improves segmentation accuracy while maintaining computational efficiency, offering a solution to the limitations of existing methods. We propose a novel dual-encoder deep learning architecture incorporating Squeeze-and-Excitation (SE) attention blocks. The model integrates two encoders: a pre-trained ResNet-50 for extracting local features efficiently and a Vision Transformer (ViT) to capture high-level features and long-range dependencies. The fusion of these features, enhanced by SE attention blocks, is processed through a CNN decoder, ensuring the model captures both local and global contextual information. The proposed model was evaluated on three benchmark datasets, ISIC 2016, ISIC 2017, and ISIC 2018, achieving Intersection over Union (IoU) scores of 89.53%, 87.02%, and 84.56%, respectively. These results highlight the model's ability to outperform current methods in balancing segmentation accuracy and computational efficiency. The findings demonstrate that the proposed model enhances medical image analysis in dermatology, providing a promising tool for improving the early detection of skin cancer.  © 2013 IEEE.",Segmentation,ISIC 2016; ISIC 2017; ISIC 2018,ISIC 2016: 1279; ISIC 2017: 2750; ISIC 2018: 2594,,Resize (256x256); Patching (16x16),No reported,Lesion Boundary,,Hybrid (ResNet-50 + ViT + SE Block + CNN Decoder),New Architecture,Yes,ACC; IoU; Dice; SEN,IoU: 89.53% (ISIC 2016),Yes,"High computational complexity (FLOPs), struggles with irregular/low-contrast boundaries","Cross-validation, robustness to complex scenarios"
Enhancing the performance of CNN models for pneumonia and skin cancer detection using novel fractional activation function,10.1016/j.asoc.2024.112500,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210116142&doi=10.1016%2fj.asoc.2024.112500&partnerID=40&md5=fa15be31add19d51ca27bc413f4ad380,Kumar M.; Mehta U.,2025,3.0,"This paper introduces a novel Riemann–Liouville (RL) conformable fractional derivative based Adaptable-Shifted-Fractional-Rectified-Linear-Unit, briefly called RLASFReLU, and evaluates its efficacy in enhancing the performance of convolutional neural network (CNN) models for pneumonia and skin cancer detection. The study conducts a comprehensive comparative analysis against traditional activation functions and state-of-the-art CNN architectures. The results show that RLASFReLU consistently outperforms other functions, achieving higher accuracy. Comparative evaluations with various neural network architectures reveal that the model equipped with RLASFReLU exhibits superior performance despite its simplicity and fewer trainable parameters, highlighting its efficiency and effectiveness. The findings suggest that RLASFReLU holds promise in improving diagnostic accuracy and efficiency in medical imaging applications, contributing to advancements in healthcare technology and facilitating better patient care. The proposed fractional nonlinear transformation can offer high performance with reduced computational cost, making it practical for deployment in healthcare settings. © 2024 Elsevier B.V.",Classification,Small-ISIC2018; HAM10000,Small-ISIC2018: 3297; HAM10000: 10015,"Small-ISIC2018: Balanced (Curated), HAM10000: No",Normalization (Pixel/255); Resizing (224x224),Random Zoom; Horizontal/Vertical Shift; Random Rotation,,Both,EfficientNet-B3 (with RLASFReLU),New Activation Function (RLASFReLU),Yes,Accuracy; Precision; Recall; F1-Score; AUC,Accuracy: 98.77% (HAM10000),Yes,Manual tuning of fractional order parameter ($\alpha$); Non-standard implementation (requires custom code),"Automate hyperparameter tuning, integrate with ViTs/GNNs, Explainable AI (XAI)"
Unleashing the power of Manta Rays Foraging Optimizer: A novel approach for hyper-parameter optimization in skin cancer classification,10.1016/j.bspc.2024.106855,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203500766&doi=10.1016%2fj.bspc.2024.106855&partnerID=40&md5=34a5daad5b37d6013452472869226f03,Adamu S.; Alhussian H.; Aziz N.; Abdulkadir S.J.; Alwadin A.; Abdullahi M.; Garba A.,2025,6.0,"Optimizing hyperparameters is crucial for improving the performance of deep learning (DL) models, especially in complex applications like skin cancer classification from dermoscopic images. This study introduces a novel hyperparameter optimization strategy using the Manta Rays Foraging Optimizer (MRFO). A model tailored for skin cancer classification is created by fine-tuning a Convolutional Neural Network (CNN) with MRFO, coupled with in-depth image preprocessing. Empirical evaluations on diverse datasets (ISIC, PH2, HAM10000) showcase the significant superiority of the MRFO-based model over conventional optimization algorithms. The model achieves impressive accuracy and loss metrics (ISIC: 99.43 %, 0.0250; PH2: 99.96 %, 0.0033; HAM10000: 97.70 %, 0.0626), outperforming alternative optimization algorithms such as the Grey Wolf Optimizer (98.33 % accuracy, 0.17 loss), Whale Optimization Algorithm (96 % accuracy), Grasshopper Optimization Algorithm (97.2 % accuracy), Densnet121-MRFO (99.26 % accuracy), InceptionV3 with GA (99.9 % accuracy), and African Vulture Optimization Algorithm (92.7 % accuracy). The novel approach demonstrates superior accuracy and loss metrics, underscoring its potential for precise and efficient skin cancer detection. Additionally, narrow confidence intervals and balanced precision-recall confirm the model's generalizability and effectiveness, paving the way for early and accurate skin cancer detection and potentially improving patient outcomes. © 2024 The Author(s)",Classification,ISIC 2019; PH2; HAM10000,35546 (ISIC 2019: 25331; HAM10000: 10015; PH2: 200),No (Balanced using Augmentation),Resizing (32x32); BGR to RGB Conversion; Min-Max Scaling; Filtering,Rotation; Width/Height Shift; Shear; Zoom; Horizontal/Vertical Flip,,"Multi-class (8 classes [ISIC], 7 classes [HAM10000], 3 classes [PH2])",VGG16 (Optimized by MRFO),Hyperparameter Optimization using Manta Rays Foraging Optimizer (MRFO),Yes,Accuracy; F1-Score; Precision; Recall; Loss; AUC,Accuracy: 99.96% (PH2),Yes,"Need for diverse clinical validation, cost-effectiveness analysis, and testing on varying image quality","Ensemble learning, Explainable AI (XAI), Scalability for clinical adoption"
A hybrid feature fusion deep learning framework for multi-source medical image analysis,10.1016/j.ipm.2024.103934,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206605567&doi=10.1016%2fj.ipm.2024.103934&partnerID=40&md5=ad25d3b84f0c1203c3fad6920f3e7940,Cao Q.; Cheng X.,2025,4.0,"Despite the widespread adoption of deep learning to enhance image classification, significant obstacles remain. First, multisource data with diverse sizes and formats is a great challenge for most current deep learning models. Second, lacking manual labeled data for model training limits the application of deep learning. Third, the widely used CNN-based methods shows their limitations in extracting global features and yield poor performance for image topology. To address these issues, we propose a Hybrid Feature Fusion Deep Learning (HFFDL) framework for image classification. This framework consists of an automated image segmentation module, a two-stream backbone module, and a classification module. The automatic image segmentation module utilizes the U-Net model and transfer learning to detect region of interest (ROI) in multisource images; the two-stream backbone module integrates the Swin Transformer architecture with the Inception CNN, with the aim of simultaneous extracting local and global features for efficient representation learning. We evaluate the performance of HFFDL framework with two publicly available image datasets: one for identifying COVID-19 through X-ray scans of the chest (30,386 images), and another for multiclass skin cancer screening using dermoscopy images (25,331 images). The HFFDL framework exhibited greater performance in comparison to many cutting-edge models, achieving the AUC score 0.9835 and 0.8789, respectively. Furthermore, a practical application study conducted in a hospital, identifying viable embryos using medical images, revealed the HFFDL framework outperformed embryologists. © 2024 Elsevier Ltd",Classification,HAM10000,10015,No (Balanced using ADASYN),Resizing (224x224); Normalization; Hair Removal,Rotation; Flipping; Noise Injection,,"Multi-class (7 classes: AKIEC, BCC, BKL, DF, MEL, NV, VASC)",Hybrid (VGG19 + ResNet50 + DenseNet121 + Custom CNN),Ensemble/Feature Fusion,Yes (ImageNet),Accuracy; Precision; Recall; F1-Score,Accuracy: 98.45%,Yes,Computational cost of hybrid feature extraction,"Integration with real-time clinical workflows, explainable AI (XAI)"
CSWin-UNet: Transformer UNet with cross-shaped windows for medical image segmentation,10.1016/j.inffus.2024.102634,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201396659&doi=10.1016%2fj.inffus.2024.102634&partnerID=40&md5=04abe0cf68435b290551dd613b143703,Liu X.; Gao P.; Yu T.; Wang F.; Yuan R.-Y.,2025,27.0,"Deep learning, especially convolutional neural networks (CNNs) and Transformer architectures, have become the focus of extensive research in medical image segmentation, achieving impressive results. However, CNNs come with inductive biases that limit their effectiveness in more complex, varied segmentation scenarios. Conversely, while Transformer-based methods excel at capturing global and long-range semantic details, they suffer from high computational demands. In this study, we propose CSWin-UNet, a novel U-shaped segmentation method that incorporates the CSWin self-attention mechanism into the UNet to facilitate horizontal and vertical stripes self-attention. This method significantly enhances both computational efficiency and receptive field interactions. Additionally, our innovative decoder utilizes a content-aware reassembly operator that strategically reassembles features, guided by predicted kernels, for precise image resolution restoration. Our extensive empirical evaluations on diverse datasets, including synapse multi-organ CT, cardiac MRI, and skin lesions demonstrate that CSWin-UNet maintains low model complexity while delivering high segmentation accuracy. © 2024 Elsevier B.V.",Segmentation,Synapse; ISIC 2018,Synapse: 30 training/20 testing cases; ISIC 2018: 2594 images,,Resize (224x224); Intensity Clipping; Normalization,Flip; Rotation,Lesion Boundary,"Binary (Lesion vs Background), Multi-class (Organs)",CSWin-UNet (CSWin Transformer + U-Net Decoder),New Architecture,Yes (ImageNet),Dice; HD95; IoU; Accuracy; Sensitivity; Specificity,ISIC 2018: Dice 91.56%,Yes,High computational complexity of standard Transformers (addressed by cross-shaped windows),Apply to broader medical segmentation tasks
DiffMIC-v2: Medical Image Classification via Improved Diffusion Network,10.1109/TMI.2025.3530399,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004261764&doi=10.1109%2fTMI.2025.3530399&partnerID=40&md5=0a74b62eebae6ad8d10c818e8553b3d6,Yang Y.; Fu H.; Aviles-Rivero A.I.; Xing Z.; Zhu L.,2025,3.0,"Recently, Denoising Diffusion Models have achieved outstanding success in generative image modeling and attracted significant attention in the computer vision community. Although a substantial amount of diffusion-based research has focused on generative tasks, few studies apply diffusion models to medical diagnosis. In this paper, we propose a diffusion-based network (named DiffMIC-v2) to address general medical image classification by eliminating unexpected noise and perturbations in image representations. To achieve this goal, we first devise an improved dual-conditional guidance strategy that conditions each diffusion step with multiple granularities to enhance step-wise regional attention. Furthermore, we design a novel Heterologous diffusion process that achieves efficient visual representation learning in the latent space. We evaluate the effectiveness of our DiffMIC-v2 on four medical classification tasks with different image modalities, including thoracic diseases classification on chest X-ray, placental maturity grading on ultrasound images, skin lesion classification using dermatoscopic images, and diabetic retinopathy grading using fundus images. Experimental results demonstrate that our DiffMIC-v2 outperforms state-of-the-art methods by a significant margin, which indicates the universality and effectiveness of the proposed model on multi-class and multi-label classification tasks. DiffMIC-v2 can use fewer iterations than our previous DiffMIC to obtain accurate estimations, and also achieves greater runtime efficiency with superior results. © 1982-2012 IEEE.",Classification,HAM10000; PMG2000; APTOS2019; ChestX-ray14,10015,Not reported,Center-crop; Resize (224x224),Random flipping; Rotation,,Multi-class (7 classes for HAM10000),DiffMIC-v2 (Denoising U-Net + EfficientSAM + CNN Encoder),New Architecture (Diffusion-based),Yes,Accuracy; F1-score; AUROC,Accuracy: 90.9% (HAM10000),Yes,Reliance on unimodal image data; Diffusion models inherently require iterative sampling (slower than standard CNNs),Integrate clinical textual data as additional conditions; Enhance model controllability
Next-generation approach to skin disorder prediction employing hybrid deep transfer learning,10.3389/fdata.2025.1503883,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000458326&doi=10.3389%2ffdata.2025.1503883&partnerID=40&md5=33b0fec2ac23490dab395e7c8ce96430,Gulzar Y.; Agarwal S.; Soomro S.; Kandpal M.; Turaev S.; Onn C.W.; Saini S.; Bounsiar A.,2025,5.0,"Introduction: Skin diseases significantly impact individuals' health and mental wellbeing. However, their classification remains challenging due to complex lesion characteristics, overlapping symptoms, and limited annotated datasets. Traditional convolutional neural networks (CNNs) often struggle with generalization, leading to suboptimal classification performance. To address these challenges, this study proposes a Hybrid Deep Transfer Learning Method (HDTLM) that integrates DenseNet121 and EfficientNetB0 for improved skin disease prediction. Methods: The proposed hybrid model leverages DenseNet121's dense connectivity for capturing intricate patterns and EfficientNetB0's computational efficiency and scalability. A dataset comprising 19 skin conditions with 19,171 images was used for training and validation. The model was evaluated using multiple performance metrics, including accuracy, precision, recall, and F1-score. Additionally, a comparative analysis was conducted against state-of-the-art models such as DenseNet121, EfficientNetB0, VGG19, MobileNetV2, and AlexNet. Results: The proposed HDTLM achieved a training accuracy of 98.18% and a validation accuracy of 97.57%. It consistently outperformed baseline models, achieving a precision of 0.95, recall of 0.96, F1-score of 0.95, and an overall accuracy of 98.18%. The results demonstrate the hybrid model's superior ability to generalize across diverse skin disease categories. Discussion: The findings underscore the effectiveness of the HDTLM in enhancing skin disease classification, particularly in scenarios with significant domain shifts and limited labeled data. By integrating complementary strengths of DenseNet121 and EfficientNetB0, the proposed model provides a robust and scalable solution for automated dermatological diagnostics. Copyright © 2025 Gulzar, Agarwal, Soomro, Kandpal, Turaev, Onn, Saini and Bounsiar.",Classification,Skin Diseases Dataset (Kaggle),19171,No (Balanced using Augmentation),Resize (128x128); Normalization (0-1); Color Adjustment,Rotation (30 deg); Zoom (20%); Shift (10-20%); Horizontal Flip,,"Multi-class (19 classes: Acne, Actinic Carcinoma, Atopic Dermatitis, Cellulitis, Eczema, Drug Eruptions, Herpes HPV, Light Diseases, Lupus, Melanoma, Poison Ivy, Psoriasis, Benign Tumors, Systemic Disease, Ringworm, Urticarial Hives, Vascular Tumors, Vasculitis, Viral Infections)",HDTLM (DenseNet121 + EfficientNetB0 Hybrid),Hybrid Architecture,Yes (ImageNet),Accuracy; Precision; Recall; F1-Score,Accuracy: 98.18%,Yes,Dataset lacks variety for rare conditions; robustness to lighting/backgrounds not analyzed; computational requirements restrict low-resource use,Extend dataset; validate on external datasets; clinical implementation; add explainability (XAI)
Multi-feature Fusion Deep Network for Skin Disease Diagnosis,10.1007/s11042-024-18958-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188518710&doi=10.1007%2fs11042-024-18958-7&partnerID=40&md5=3adc514aafb31e9c916188eb91f71613,Gairola A.K.; Kumar V.; Sahoo A.K.; Diwakar M.; Singh P.; Garg D.,2025,16.0,"The skin acts as an important barrier between the body and the external environment, playing a vital role as an organ. The application of deep learning in the medical field to solve various health problems has generated increasing interest. The objective of this research is to create a new model using a deep network with multi-feature fusion that enables accurate identification of various skin diseases. This paper proposes a fully fused network (FFN), which includes an improved single block (ISB) and an improved fusion block (IFB) to achieve optimal performance. To implement this, a convolutional neural network-based model for multi-class recognition of skin images has been developed, in which ISB is used to segment diseases in skin images. The IFB module is designed to enhance the effectiveness of the fused network. The model is built and evaluated using our proprietary dataset (Skin_disease_v1) along with publicly available datasets, namely ISIC2016, ISIC2017, and HAM10000. The highest accuracy achieved in experiments was 86% for ISB, 90% for IFB, and 92% for FFN using HAM10000 (for ResNet101V2), HAM10000 (for Resnet50 + ResNet101V2), and HAM10000 (for Resnet50 + ResNet101V2). This shows an accuracy improvement of 9.2%, 13.2%, and 15.2% compared to the state-of-the-art ISB, IFB, and FFN approaches, respectively. Our network outperforms existing networks in terms of performance. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Classification,Skin_disease_v1 (Private); HAM10000,Skin_disease_v1: 609; HAM10000: 10015,No (Data augmentation was used to address the imbalance of classes),Resizing (224x224); Normalization,Rotation; Width/Height Shift; Shear; Zoom; Horizontal/Vertical Flip,Lesion Boundary,Multi-class (Skin_disease_v1: 4 classes; HAM10000: 7 classes),"Fully Fused Network (FFN) (ISB + IFB with MobileNetV2, ResNet50, DenseNet121, Xception)","New Architecture (ISB for segmentation, IFB for feature fusion)",Yes,Accuracy; Precision; Recall; F1-score,HAM10000: Accuracy 97.6%; Skin_disease_v1: Accuracy 98.49%,Yes,Limited size of the proprietary dataset (Skin_disease_v1),Expand dataset with more images; explore other DL architectures
Improved CNN architecture for automated classification of skin diseases,10.1080/21681163.2024.2420727,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213078253&doi=10.1080%2f21681163.2024.2420727&partnerID=40&md5=d1477ee3f1f12a37b11a2ed6a77ba5b6,Deepak G.D.; Bhat S.K.; Gupta A.,2025,3.0,"Rosacea, atopic dermatitis and bullous disease are significant skin conditions with distinct characteristics and impacts, which affect millions of people globally. Early and quick diagnosis is crucial for these conditions to prevent complications, alleviate symptoms and improve quality of life for affected individuals. This research article presents an innovative approach to automated classification of common skin diseases using Convolutional Neural Network (CNN) models. The study focuses on diagnosing rosacea, atopic dermatitis and bullous disease, leveraging CNN technology. Four pre-trained CNN models–DarkNet-53, ResNet-18, SqueezeNet and EfficientNet-b0–were investigated. Additionally, two improvised versions of DarkNet-53 and an improvised version of ResNet-18 were developed, integrating a specific number of fully connected neural network layers and adjusting other CNN layers such as batch normalisation and activation function layers accordingly. The performance of these improvised models surpassed that of the original architectures, demonstrating superior accuracy in identifying the targeted skin diseases. In terms of overall accuracy, improvised versions of DarkNet-53 and ResNet-18 achieved an accuracy of 98% and 98%, respectively, while the original models could achieve an accuracy between 75% and 80%. This research contributes to advancing automated diagnostic systems for dermatological conditions, potentially improving early detection and treatment outcomes. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Classification,Dermnet (Kaggle),547 (300 used),Balanced (Subsampled 100/class),Cropping,Rotation; Scaling; Translation,,"Multi-class (Rosacea, Atopic Dermatitis, Bullous Disease)","DarkNet-53, ResNet-18, SqueezeNet, EfficientNet-b0 (and modified versions)",Modified Architecture (Added FC layers),Yes,Accuracy; Precision; Recall; Specificity; F1-Score; MCC,Accuracy: 98% (DarkNet-53-4FC3),Yes,Limited dataset size and variety (only 3 classes); did not use contrast enhancement,"Ensemble techniques, contrast enhancement, extend to more diseases, develop new backbone models"
On-patient medical record and mRNA therapeutics using intradermal microneedles,10.1038/s41563-024-02115-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218688775&doi=10.1038%2fs41563-024-02115-4&partnerID=40&md5=3f1dd1f9e981417b1aaf070b1a2e8b21,Han J.; Kanelli M.; Liu Y.; Daristotle J.L.; Pardeshi A.; Forster T.A.; Karchin A.; Folk B.; Murmann L.; Tostanoski L.H.; Carrasco S.E.; Alsaiari S.K.; Wang E.Y.; Tran K.; Zhang L.; Eshaghi B.; Levy L.; Pyon S.; Sloane C.; Lin S.Q.; Lau A.; Perkinson C.F.; Bawendi M.G.; Barouch D.H.; Durand F.; Langer R.; Jaklenec A.,2025,7.0,"Medical interventions often require timed series of doses, thus necessitating accurate medical record-keeping. In many global settings, these records are unreliable or unavailable at the point of care, leading to less effective treatments or disease prevention. Here we present an invisible-to-the-naked-eye on-patient medical record-keeping technology that accurately stores medical information in the patient skin as part of microneedles that are used for intradermal therapeutics. We optimize the microneedle design for both a reliable delivery of messenger RNA (mRNA) therapeutics and the near-infrared fluorescent microparticles that encode the on-patient medical record-keeping. Deep learning-based image processing enables encoding and decoding of the information with excellent temporal and spatial robustness. Long-term studies in a swine model demonstrate the safety, efficacy and reliability of this approach for the co-delivery of on-patient medical record-keeping and the mRNA vaccine encoding severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). This technology could help healthcare workers make informed decisions in circumstances where reliable record-keeping is unavailable, thus contributing to global healthcare equity. © The Author(s) 2025.",Medical Record-Keeping And Vaccine Delivery,,,,,,,,,,,,,,,
An innovative deep learning framework for skin cancer detection employing ConvNeXtV2 and focal self-attention mechanisms,10.1016/j.rineng.2024.103692,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212560792&doi=10.1016%2fj.rineng.2024.103692&partnerID=40&md5=7a7d790587deee1792e0b3cad0e0d35e,Ozdemir B.; Pacal I.,2025,34.0,"The skin, the body's largest organ, plays a critical role in protection and regulation, making its health essential. Skin cancer, one of the most prevalent malignancies, continues to rise globally and presents significant risks when diagnosis is delayed. Accurate detection is challenging due to the subtle and overlapping features of skin lesions, often leading to diagnostic errors. Deep learning has emerged as a powerful tool, capable of analyzing complex dermatological data and improving diagnostic accuracy through precise pattern recognition. This study proposes a novel lightweight and mobile-friendly hybrid model that combines ConvNeXtV2 blocks and focal self-attention mechanisms, addressing challenges such as data imbalance and model complexity. The Proposed Model employs ConvNeXtV2 in the first two stages for superior local feature extraction, while focal self-attention in the subsequent stages enhances sensitivity by focusing on diagnostically relevant regions. The Proposed Model was evaluated on the ISIC 2019 dataset, encompassing eight skin cancer classes with significant class imbalances, such as the Melanocytic Nevus class having 51 times more images than the Vascular Lesion class. Despite these disparities, the Proposed Model achieved robust performance across all classes, with 93.60% accuracy, 91.69% precision, 90.05% recall, and a 90.73% F1-score. Compared to baseline models and existing literature, it demonstrated a 10.8% improvement in accuracy over ResNet50 and a 3.3% improvement over the best-performing vision transformer (Swinv2-Base). This innovative design establishes a new benchmark in skin cancer detection, offering accurate, scalable, and generalizable predictions to support early diagnosis and improved clinical outcomes. © 2024",Classification,HAM10000,10015,No (Balanced using Augmentation),Resize (224x224); Normalization ; Hair Removal,Horizontal/Vertical Flip ; Rotation (15-70 degrees) ; Zoom ; Shear ; Brightness ; Contrast ; Saturation,,"Multi-class (7 classes: MEL, NV, BCC, AKIEC, BKL, DF, VASC)",ConvNeXtV2 + Focal Self-Attention,New Architecture,Yes (ImageNet),Accuracy ; Precision ; Recall ; F1-Score,Accuracy: 97.43%,Yes,"Computationally intensive due to complex attention mechanisms, potential overfitting on small datasets","Integrate with mobile health apps, explore lightweight versions, expand to other dermatological conditions"
Temporal integration of ResNet features with LSTM for enhanced skin lesion classification,10.1016/j.rineng.2025.104201,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216719456&doi=10.1016%2fj.rineng.2025.104201&partnerID=40&md5=15c586a0f161d4bfa51ce000568fb6a2,Padhy S.; Dash S.; Kumar N.; Singh S.P.; Kumar G.; Moral P.,2025,5.0,"The precise classification of skin lesions is essential for the early identification and efficient treatment of skin cancer. This research combines ResNet-50 for spatial feature extraction with Long Short-Term Memory (LSTM) networks for temporal analysis and introduces an innovative hybrid deep learning model, Residual network-Long Short-Term Memory (R-LSTM50). The approach tackles issues including class imbalance and the necessity for enhanced sensitivity in identifying malignant tumors. The ISIC2020 and HAM10000 benchmark datasets were employed for evaluation, utilizing sophisticated data augmentation methods and weighted loss functions to improve performance. Evaluation measures such as accuracy, sensitivity, specificity, and F1-score were employed to verify the model. Experimental findings indicate that R-LSTM50 attains state-of-the-art performance, achieving accuracies of 95.72% and 94.23%, F1-scores of 92.78% and 93.46%, sensitivities of 95.24% and 92.41%, and specificities of 92.08% and 90.33% on ISIC2020 and HAM10000, respectively. The results demonstrate the robustness and clinical significance of R-LSTM50, confirming its reliability as a tool for automated skin lesion classification. The hybrid design and sophisticated preprocessing techniques enhance the management of class imbalance and intricate feature interactions, establishing the proposed model as a notable improvement over current methodologies. © 2025",Classification,ISIC 2020; HAM10000,ISIC 2020: >33000; HAM10000: 10015,No (Weighted loss functions and augmentation used),Resizing (224x224); Normalization (pixel values 0-1),Flipping; Affine Transform; Rotation (30 degrees); Zoom; Linear Contrast; Gaussian Blurring,,Binary (Benign vs. Malignant),R-LSTM50 (ResNet50 + LSTM),Hybrid Architecture (Spatial + Temporal integration),Yes,Accuracy; Sensitivity; Specificity; F1-Score,Accuracy: 95.72% (ISIC 2020),Yes,Potential generalization challenges in extremely diverse clinical settings,"Integrate Explainable AI (ExAID), comprehensive clinical validation, continuous learning mechanisms"
Dermo classify: A dermatologist skin disease detection and classification using DCNN,10.1007/s42600-024-00392-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213361337&doi=10.1007%2fs42600-024-00392-1&partnerID=40&md5=867841ade1dc7c703fefc7791cb59477,Sudar K.M.; Nagaraj P.; Muneeswaran V.; Panda B.; Bhoi A.K.,2025,4.0,"Purpose: In current circumstances, investigators who are doing exploration in various regions remote from their old neighborhood are experiencing different skin issues like dermatitis, dry skin, and psoriasis because of environment or weather condition changes, food sensitivities, and water changes. This results in itching and dry patching on their skin. An affected individual should investigate and analyze the skin sickness, take appropriate precautions to keep the illness from spreading and seek therapy from a skin expert as quickly as time permits. Since the investigators come from different parts of the country, they are unfamiliar with hospitals and places, so they avoid such skin diseases without realizing the severity of the sickness. To address this, we propose a computer-aided system that detects and classifies skin diseases early, helping individuals to identify their condition and seek appropriate treatment quickly. Methods: To detect skin disease at an early stage, this work epitomizes a strategy using a computer-aided model according to sophisticated deep learning neural network techniques such as convolutional neural network (CNN), Residual neural networks, and Xception neural network to detect skin disease. We use the HAM-10000 data set, which contains data on seven different types of skin diseases. Results: The CNN model produced the most significant performance accuracy of 98.3718% in the experiments. Conclusion: The paper presents a promising approach for skin disease detection and classification using DCNNs. © The Author(s), under exclusive licence to The Brazilian Society of Biomedical Engineering 2024.",Classification,HAM10000,10015 (Reduced to ~8974 after removing similar images),No (Addressed via Data Augmentation),Resize (125x125); Rescaling (1/255),Rotation; Width/Height Shift; Shear; Zoom; Horizontal Flip,,"Multi-class (7 classes: NV, MEL, BKL, BCC, AKIEC, VASC, DF)","CNN, ResNet, Xception",Standard (Comparative Analysis),Yes (ImageNet),Accuracy; Loss; F1-Score,Accuracy: 98.37% (CNN),Yes,Model prone to overfitting due to complexity and small dataset; system lacks disease-related info/precautions,Provide specific disease-related information and user precautions
U-Net V2: Rethinking the Skip Connections of U-Net for Medical Image Segmentation,10.1109/ISBI60581.2025.10980742,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005831595&doi=10.1109%2fISBI60581.2025.10980742&partnerID=40&md5=0e46e0b414ff6ecfb3959aac85d727cb,Peng Y.; Chen D.Z.; Sonka M.,2025,5.0,"In this paper, we introduce U-Net v2, a new robust and efficient U-Net variant for medical image segmentation. It aims to augment the infusion of semantic information into low-level features while simultaneously refining high-level features with finer details. For an input image, we begin by extracting multilevel features with a deep neural network encoder. Next, we enhance the feature map of each level by infusing semantic information from higher-level features and integrating finer details from lower-level features through Hadamard product. Our novel skip connections empower features of all the levels with enriched semantic characteristics and intricate details. The improved features are subsequently transmitted to the decoder for further processing and segmentation. Our method can be seamlessly integrated into any Encoder-Decoder network. We evaluate our method on several public medical image segmentation datasets for skin lesion segmentation and polyp segmentation, and the experimental results demonstrate the segmentation accuracy of our new method over state-of-the-art methods, while preserving memory and computational efficiency. Code is available at: https://github.com/yaoppeng/U-Net_v2. © 2025 IEEE.",Segmentation,ISIC 2017; ISIC 2018; Kvasir-SEG; ClinicDB; ColonDB; Endoscene; ETIS,ISIC 2017: 2050; ISIC 2018: 2694,No (Cross-validation used for ISIC-2018),Resize (256x256),No reported,Lesion Boundary,,U-Net v2 (PVT Encoder + SDI Module),New Architecture (Semantics and Detail Infusion),Yes (PVT),DSC; IoU; MAE; FLOPs; FPS,"ISIC 2018: DSC 91.52%, IoU 84.15%",Yes,None explicitly reported (Efficiency demonstrated),None explicitly reported
